IP:Port,Type,Latency,Location
124.108.6.20:8085,http,4.0s,124.108.6.20 (Kouk Thlok, Cambodia)
172.200.72.48:80,http,0.7s,172.200.72.48 (Boydton, United States)
43.251.215.2:8080,http,2.31s,43.251.215.2 (New Delhi, India)
45.88.0.114:3128,http,3.85s,45.88.0.114 (Warsaw, Poland)
47.104.28.135:3128,http,5.49s,47.104.28.135 (Qingdao, China)
200.85.232.91:3128,http,5.21s,200.85.232.91 (Bogotá, Colombia)
133.18.234.13:80,http,3.58s,133.18.234.13 (Chiyoda City, Japan)
139.162.200.213:80,http,0.77s,139.162.200.213 (London, United Kingdom)
48.210.225.96:80,http,0.62s,48.210.225.96 (Tokyo, Japan)
113.204.79.230:9091,http,1.71s,113.204.79.230 (Jinrongjie, China)
193.239.86.180:80,http,0.97s,193.239.86.180 (Hong Kong, Hong Kong)
174.138.119.88:80,http,0.61s,174.138.119.88 (Clifton, United States)
167.103.144.127:8800,http,0.97s,167.103.144.127 (Sydney, Australia)
62.182.204.81:88,http,1.3s,62.182.204.81 (Makhachkala, Russia)
47.121.129.129:8443,http,7.41s,47.121.129.129 (Shenzhen, China)
200.174.198.32:8888,http,3.11s,200.174.198.32 (Indaiatuba, Brazil)
91.132.92.231:80,http,0.72s,91.132.92.231 (Brøndby Strand, Denmark)
185.41.152.110:3128,http,4.73s,185.41.152.110 (Valenciennes, France)
185.17.153.178:8080,http,0.92s,185.17.153.178 (Mytishchi, Russia)
153.0.171.163:8085,http,1.47s,153.0.171.163 (Haikou, China)
43.200.30.144:80,http,3.26s,43.200.30.144 (Seoul, South Korea)
151.236.24.38:80,http,1.38s,151.236.24.38 (Hafnarfjordur, Iceland)
27.34.242.98:80,http,1.3s,27.34.242.98 (Bengaluru, India)
179.185.75.94:8080,http,5.87s,None
143.42.66.91:80,http,6.29s,None
12.50.107.219:80,http,0.8s,None
213.220.62.63:3128,http,2.04s,None
8.217.90.107:22520,http,2.23s,None
185.76.240.242:10001,http,4.35s,None
185.76.241.215:10001,http,5.28s,185.76.241.215 (Mayachnaya, Russia)
